datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/TRADEINFO0-Gate/TRADEINFO1-Gate/TRADEINFO2-Gate/NEW_ORDER_OPEN-TradeAct/TRADEINFO3-Gate/TRADEINFO4-Gate/NEW_ORDER_CLOSE-TradeAct/TRADEINFO5-Gate,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/TRADEINFO0-TradeAct/TRADEINFO1-M30dn+M15up|act/TRADEINFO2-|act/NEW_ORDER_OPEN-OPEN_TICKET/TRADEINFO3-M5/TRADEINFO4-M5/NEW_ORDER_CLOSE-OPEN_TICKET/TRADEINFO5-M5,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/TRADEINFO0-Trade_act/TRADEINFO1-atrsl/TRADEINFO2-atrsl/NEW_ORDER_OPEN-OPEN_TYPE/TRADEINFO3-atrsl/TRADEINFO4-atrsl/NEW_ORDER_CLOSE-OPEN_Type/TRADEINFO5-atrsl,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/TRADEINFO0-pen/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
2026.01.02 01:00,BBTFImpact,{},,,{},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},{M5=40-30|M15=0-30|M30=30-20|H1=30-20|H4=0-20|D1=30-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4319.13,4333.61,4319.13,4326.37,3.62,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:15,M15,0.0,1.0,0.0,0.47,5.31,0.59,4318.97,4331.68,4306.26,4330.94,4330.94,4330.94,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},,{M15=1},{},{M5=9-0|M15=9-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},{M5=30-40|M15=30-40|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4326.45,4339.61,4326.45,4331.49,4.06,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:30,M15,0.0,1.0,0.0,0.84,13.35,0.77,4320.05,4336.69,4303.4,4341.11,4341.11,4341.11,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},,{M15=1},{},{M5=9-9|M15=0-9|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},{M5=30-40|M15=0-40|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4332.29,4349.36,4332.29,4341.49,4.6,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:45,M15,1.0,1.0,0.0,1.08,14.99,0.94,4321.19,4341.41,4300.98,4345.5,4345.5,4345.5,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
