datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/NEW_ORDER_OPEN-TradeAct/NEW_ORDER_CLOSE-TradeAct,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/NEW_ORDER_OPEN-OPEN_TICKET/NEW_ORDER_CLOSE-OPEN_TICKET,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/NEW_ORDER_OPEN-OPEN_TYPE/NEW_ORDER_CLOSE-OPEN_Type,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
2025.06.02 01:00,BBTFImpact,[62622.0],,,"[0.07, 1.27, 1.08]",{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=18-0|W1=0-0},{M5=40-10|M15=30-20|M30=30-20|H1=30-20|H4=0-20|D1=30-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=18-28|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3291.87,3300.42,3291.87,3296.14,2.14,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 01:15,M15,0.0,1.0,0.0,0.88,15.71,0.51,3293.77,3302.09,3285.45,3307.33,3307.33,3307.33,,,,,
~,BBTFImpact,[62620.0],,{M15=1},"[1.11, 2.42, 0.07]",{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-18|W1=0-0},{M5=0-40|M15=0-40|M30=0-40|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3303.37,3313.96,3303.37,3308.06,2.95,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 01:30,M15,1.0,0.0,0.0,0.85,3.98,0.49,3294.47,3302.5,3286.43,3304.01,3304.01,3304.01,,,,,
~,BBTFImpact,[62620.0],,{M15=1},"[2.0, 2.25, 0.76]",{M5=0-9|M15=0-0|M30=9-0|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-40|M30=30-40|H1=40-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.32,3309.32,3296.37,3303.49,3.56,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 01:45,M15,1.0,0.0,0.0,0.75,7.26,0.56,3295.22,3304.52,3285.93,3305.82,3305.82,3305.82,,,,,
~,BBTFImpact,[62610.0],,{M15=1},"[2.8, 3.01, 1.52]",{M5=0-9|M15=0-0|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-40|M30=40-30|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.32,3309.32,3298.33,3305.75,3.71,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 02:00,M15,1.0,1.0,0.0,1.01,14.9,0.79,3296.47,3309.41,3283.52,3313.18,3313.18,3313.18,,,,,
~,M30,1.0,1.0,0.0,0.93,15.84,1.03,3293.38,3310.33,3276.43,,,,,,,,
