datetime,category,TF-diffMid_Trend/BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/NEW_ORDER_OPEN-TradeAct/NEW_ORDER_CLOSE-TradeAct,TF-BBUpDn/BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/NEW_ORDER_OPEN-OPEN_TICKET/NEW_ORDER_CLOSE-OPEN_TICKET,TF-trend/BBTFImpact-midline_Cluster/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/NEW_ORDER_OPEN-OPEN_TYPE/NEW_ORDER_CLOSE-OPEN_Type,TF-diffMid/BBTFImpact-line_seq_touch/ATRSL1buf-Lower/ORDERINFO-BUYS/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,TF-diffBBW/BBTFImpact-line_seq_cross/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,TF-WLV/BBTFImpact-untouch_val/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,TF-MidLV/ORDERINFO-SELL_TICKET_NUM/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,TF-UppLV/ORDERINFO-SELLS/NEW_ORDER_CLOSE-CLOSED_TYPE,TF-LowLV/ORDERINFO-TOTALORDERS/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
2026.01.01 00:00,M5,3.0,0.0,0.0,0.07,0.5,0.31,4314.59,4321.34,4307.83,4318.87,4318.87,4316.94,,,,,
2026.01.02 01:00,M15,0.0,0.0,0.0,0.14,1.8399999999999999,0.51,4318.37,4329.45,4307.29,4327.01,4327.84,4326.92,,,,,
~,M30,0.0,2.0,0.0,0.99,-5.58,0.91,4324.37,4344.1,4304.65,,,,,,,,
~,H1,0.0,2.0,0.0,-1.58,-20.89,1.1400000000000001,4323.28,4347.83,4298.74,,,,,,,,
~,H4,0.0,0.0,0.0,-10.13,-52.54,6.26,4381.8,4518.99,4244.61,,,,,,,,
~,D1,0.0,2.0,0.0,5.46,-27.25,8.74,4325.03,4513.98,4136.08,,,,,,,,
~,W1,0.0,3.0,0.0,52.23,-134.11,32.22,3971.48,4611.32,3331.65,,,,,,,,
~,BBTFImpact,,,"[3.21, 6.01, 4.91]",{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=40-30|M15=0-30|M30=30-20|H1=30-20|H4=0-20|D1=30-20|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4319.13,4333.61,4319.13,4326.37,3.62,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
~,M5,3.0,1.0,0.0,0.57,9.28,0.41,4315.16,4323.92,4306.4,4327.01,4327.84,4326.92,,,,,
2026.01.02 01:05,M5,1.0,1.0,0.0,0.59,6.88,0.5,4315.84,4326.57,4305.11,4327.72,4327.72,4327.72,,,,,
~,BBTFImpact,,{M15=1},"[2.5300000000000002, 6.01, 4.91]",{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-40|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=28-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4321.4,4333.61,4321.4,4328.62,3.61,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:10,M5,1.0,1.0,0.0,0.7,10.47,0.63,4316.69,4330.38,4302.99,4333.46,4333.46,4333.46,,,,,
~,BBTFImpact,,{M15=1},"[1.6800000000000002, 6.01, 4.91]",{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-40|M15=40-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-28|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4326.45,4341.75,4326.45,4334.1,3.82,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:15,M5,1.0,1.0,0.0,0.57,6.17,0.69,4317.21,4332.02,4302.4,4330.94,4330.94,4330.94,,,,,
~,M15,0.0,1.0,0.0,0.47,5.31,0.59,4318.97,4331.68,4306.26,4330.94,4330.94,,,,,,
~,BBTFImpact,,{M15=1},"[1.76, 5.41, 4.31]",{M5=9-0|M15=9-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=30-40|M15=30-40|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4326.45,4339.61,4326.45,4331.49,4.06,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:20,M5,1.0,1.0,0.0,0.68,7.98,0.77,4317.91,4334.55,4301.27,4334.4,4334.4,4334.4,,,,,
~,BBTFImpact,,{M15=1},"[1.06, 5.41, 4.31]",{M5=0-9|M15=0-9|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=40-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4326.45,4339.61,4326.45,4334.35,4.34,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:25,M5,1.0,1.0,0.0,1.07,11.65,0.91,4319.11,4338.82,4299.41,4340.22,4340.22,4340.22,,,,,
~,BBTFImpact,,{M15=1},"[0.14, 5.41, 4.31]",{M5=0-9|M15=0-9|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=40-30|M15=0-40|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4331.01,4349.36,4331.01,4340.18,4.59,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 01:30,M5,1.0,1.0,0.0,1.47,8.54,1.0,4320.61,4342.29,4298.93,4341.11,4341.11,4341.11,,,,,
~,M15,0.0,1.0,0.0,0.84,13.35,0.77,4320.05,4336.69,4303.4,4341.11,4341.11,,,,,,
~,M30,0.0,3.0,0.0,1.44,1.6600000000000001,0.95,4326.13,4346.6,4305.65,,,,,,,,
~,BBTFImpact,,{M15=1},"[0.56, 6.08, 3.23]",{M5=9-9|M15=0-9|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=30-40|M15=0-40|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4332.29,4349.36,4332.29,4341.49,4.6,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
