row,timestamp,h4_bbw,h4_mid,h4_ud,h1_bbw,h1_mid,h1_ud,m30_bbw,m30_mid,m30_ud,m15_bbw,m15_mid,m15_ud,d1_bbw,d1_mid,diffbbw_h4,cas_shrinktf,cas_sqzcount,trade_event
1,03.02 04:00,511,1,1,512,1,3,512,1,3,513,1,2,523,3,+58.7,5,0,
2,03.02 08:00,511,1,1,512,1,3,512,1,3,413,3,0,523,3,+73.4,5,1,
3,03.02 12:00,511,1,1,512,1,3,511,1,0,513,1,2,523,3,+77.0,5,0,
4,03.02 16:00,511,1,1,512,1,0,424,4,0,513,1,2,523,3,+59.0,5,1,
5,03.02 20:00,512,1,3,513,1,2,522,2,4,522,2,0,523,3,+2.5,5,0,
6,03.03 04:00,512,1,3,422,4,0,413,1,0,512,5,3,523,1,+3.7,5,2,
7,03.03 07:45,512,1,3,422,2,2,513,1,2,511,5,1,523,1,+3.7,5,1,OPEN BUY
8,03.03 08:00,512,1,3,422,2,0,513,3,0,521,2,1,523,1,-8.9,5,1,
9,03.03 12:00,512,1,3,422,2,4,521,2,1,522,2,4,523,1,-13.3,5,1,
10,03.03 16:00,512,3,1,521,2,1,522,2,4,522,2,4,523,1,+12.6,5,0,
11,03.03 20:00,512,3,1,522,2,4,522,2,4,523,2,2,523,1,+50.5,5,0,
12,03.04 04:00,521,3,1,523,2,2,413,3,0,511,1,1,513,1,+1.9,5,1,
13,03.04 08:00,521,4,1,523,2,2,512,1,3,513,5,2,513,1,+7.1,5,0,
14,03.04 12:00,521,3,1,523,3,0,513,1,0,511,1,1,513,1,+1.2,5,0,
15,03.04 16:00,521,3,1,421,1,0,512,3,0,513,5,2,513,1,+5.3,5,1,
16,03.04 20:00,521,2,1,421,1,2,521,2,1,522,2,4,513,1,+18.7,5,1,
17,03.05 04:00,522,2,4,413,5,0,511,1,1,512,1,3,512,1,+8.5,-1,1,
18,03.05 08:00,522,2,4,511,3,4,513,1,2,521,2,1,512,1,-10.9,2,0,
19,03.05 12:00,522,2,4,523,2,2,413,3,0,523,2,2,512,1,-19.3,3,1,
20,03.05 16:00,522,2,4,521,2,1,521,2,4,521,2,1,512,1,-48.9,-1,0,
21,03.05 20:00,522,2,4,521,2,1,522,2,0,523,2,2,512,1,-50.4,1,0,
22,03.06 04:00,522,2,0,523,2,2,413,3,1,511,1,1,513,1,-51.2,5,1,
23,03.06 08:00,523,2,2,523,2,2,512,1,3,513,1,2,513,1,-101.0,5,0,
24,03.06 12:00,523,2,2,523,2,0,513,3,2,522,2,4,513,1,-123.3,5,0,
25,03.06 16:00,523,2,2,522,5,0,522,2,0,523,3,2,513,1,-92.9,5,0,
26,03.06 20:00,523,4,2,512,1,3,511,1,1,512,1,0,513,1,-14.9,5,0,
27,03.09 04:00,422,2,0,521,2,1,521,2,1,522,2,4,513,1,+41.3,5,1,
28,03.09 08:00,521,2,1,522,3,4,522,2,4,413,1,3,513,1,+8.3,5,1,
29,03.09 12:00,522,2,4,513,3,0,523,2,2,513,5,2,513,1,-3.7,5,0,
30,03.09 16:00,522,2,4,522,2,4,413,3,0,523,4,0,513,1,-0.5,5,1,
31,03.09 20:00,522,2,0,523,2,2,423,3,0,512,1,3,513,1,-22.1,5,1,
32,03.10 04:00,523,3,0,512,1,3,512,1,0,513,5,2,512,1,+0.1,4,0,
33,03.10 08:00,423,3,0,512,1,3,513,1,2,512,1,0,512,1,-1.1,2,1,
34,03.10 12:00,423,3,1,512,1,3,411,1,3,512,1,3,512,1,+8.7,-1,2,
35,03.10 16:00,511,5,1,512,1,0,423,1,0,511,5,3,512,1,+20.7,-1,1,
36,03.10 20:00,511,1,1,512,1,3,511,1,0,512,1,0,512,1,+50.8,-1,0,
37,03.11 04:00,512,1,3,512,1,3,421,1,3,511,1,1,512,1,+11.1,-1,1,
