time,scenario,phase,info,cas_shrinkTF,cas_sqzCount,h4_stage,h4_diffBBW,h4_mid,h4_bbupdn,trade_event,h4_sqz,h4_fly,h4_shrink
01.02 04:00,B3,PH_1,B3 — H1-SQZ onset,-1,1,0,0,0,0,,False,False,False
01.02 08:00,E4,PH_1,E4 — HTF compressing,-1,0,0,-79.94,2,2,,False,False,False
01.02 12:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,0,0,-101.01,2,2,,False,False,False
01.02 16:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,1,0,-92.98,2,2,,False,False,False
01.02 20:00,E4,PH_3B_INTO,E4 — HTF compressing,3,0,0,-61.12,2,2,,False,False,False
01.05 04:00,G3,PH_4,G3 — H4 SQZ waiting,-1,0,423,19.89,3,1,,True,False,False
01.05 08:00,A2,PH_2,A2 — SQZ without LTF shrink,-1,1,511,25.07,1,1,,False,True,False
01.05 12:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",2,0,511,40.05,1,1,,False,True,False
01.05 16:00,A2,PH_1,"A2 — mid-TF SQZ, M15+M5 flying, D1 not aligned",-1,1,511,20.44,1,1,,False,True,False
01.05 20:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",3,0,511,33.63,1,1,,False,True,False
01.05 23:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,511,33.63,1,1,OPEN BUY,False,True,False
01.06 04:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,511,29.36,1,1,,False,True,False
01.06 08:00,B1,PH_1,B1 — M15 shrink,1,0,511,21.54,1,0,,False,True,False
01.06 12:00,B3,PH_1,B3 — H1 shrink,3,0,511,0.18,1,0,,False,True,False
01.06 16:00,B3,PH_3B_INTO,B3 — H1-SQZ onset,-1,2,512,-7.27,1,3,,False,True,False
01.06 20:00,A2,PH_2,"A2 — H4 fly, D1 not aligned",-1,0,512,9.74,1,3,,False,True,False
01.07 04:00,E4,PH_6,E4 — HTF compressing,5,1,512,-31.22,1,3,,False,True,False
01.07 08:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,512,-26.69,1,0,,False,True,False
01.07 12:00,B2,PH_3B_INTO,B2 — M30 shrink + 1 SQZ,5,1,512,-13.98,1,3,,False,True,False
01.07 16:00,A2,PH_3B_INTO,A2 — SQZ without LTF shrink,5,1,512,-8.44,1,3,,False,True,False
01.07 20:00,B3,PH_3B_INTO,B3 — H1 shrink + 1 SQZ,5,1,512,-12.36,1,3,,False,True,False
01.08 01:30,E4,PH_3B_INTO,E4 — HTF compressing,3,0,512,-48.1,1,0,CLOSE BUY P&L:16.88,False,True,False
01.08 04:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-107.86,1,2,,False,False,True
01.08 08:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-36.31,1,2,,False,False,True
01.08 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-23.1,5,2,,False,False,True
01.08 16:00,G2,PH_4,G2 — H2 opposite D1,-1,1,423,0.77,3,0,,True,False,False
01.08 20:00,G2,PH_4,G2 — H2 opposite D1,-1,0,423,-12.92,1,2,,True,False,False
01.08 22:45,G2,PH_4,G2 — H2 opposite D1,3,0,423,-12.92,1,2,OPEN SELL,True,False,False
01.09 04:00,G2,PH_4,G2 — H2 opposite D1,2,0,423,0.49,5,3,,True,False,False
01.09 08:00,G2,PH_4,G2 — H2 opposite D1,2,1,423,-0.15,5,3,,True,False,False
01.09 12:00,G2,PH_4,G2 — H2 opposite D1,3,1,423,2.34,3,0,,True,False,False
01.09 15:00,G2,PH_4,G2 — H2 opposite D1,3,1,423,2.34,3,0,CLOSE BUY P&L:-6.26,True,False,False
01.09 16:00,G2,PH_4,G2 — H2 opposite D1,-1,1,423,7.44,5,1,,True,False,False
01.09 20:00,E1,PH_1,"E1 — H1-SQZ recovery, compression persists",1,0,511,6.33,5,1,,False,True,False
01.12 04:00,F3,PH_1,F3 — HTF confirmed expansion,-1,0,511,67.75,1,1,,False,True,False
01.12 08:00,A1,PH_1,A1 — H4+D1 fly aligned,1,0,511,63.24,1,1,,False,True,False
01.12 12:00,A1,PH_1,A1 — H4+D1 fly aligned,2,0,511,55.6,1,1,,False,True,False
01.12 16:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,511,63.77,1,1,,False,True,False
01.12 20:00,A1,PH_1,A1 — H4+D1 fly aligned,3,0,511,45.66,1,1,,False,True,False
01.13 04:00,B3,PH_1,B3 — H1 shrink,3,0,512,5.8100000000000005,1,3,,False,True,False
